video_id,comments
S7TUe5w6RHo,"['Learn more about how complex life evolved with our new, elaborately detailed Timeline of Evolution Poster. \nAvailable only on the kurzgesagt shop here: https://shop.kgs.link/timeline', 'Absolutely amazing!', 'Aliens is not in the mood now 😔', 'These graphics are insanely mesmerizing! Nice job!', ""This is without a doubt the best channel on YouTube, seriously. \nI can't thank you enough for all this work that you bring to us for free. It really is insane.❤"", 'hot tunes time bandits  .. i used to watch these with toddlers .....now there at uni ....thanks for help making my dreams come true ....much respect DAn', 'Amazing. Thank you!', 'To believe this guy knows how old earth is and that it is over a billion years is a testament to how dishonest and prided he is and how ignorant and gullible those who believe him are.', ""The fact that im in awe when knowing someone born around 1900s, thats like 120 years ago, and this vdeo said, we've witness things happend in billions years..  billions.."", 'bill wurtz feelings']"
Qtmrp_4BKRQ,"['✨ WORLDWIDE SHIPPING AVAILABLE ✨ The 12,024 Human Era Calendar has landed! https://shop.kgs.link/12-024\nJoin us on an exploration of how different cosmic conditions could shape unique worlds and civilizations.\nStocks are highly limited, so don’t miss your chance to own a truly special piece of kurzgesagt.', 'I cant belive I hold this calender in my hands right now, its so magnificent ❤', 'Trust me I will', 'Damn...  10 bucks of shipping costs... Why so much? :(', 'The human era starts at the beginning of the Holocene 12,023 years ago', ""I hope I can one day buy something, perhaps soon, at least some stickers and contribute to this amazing channel I've been following for years and adore a lot!\nBTW I'm so curious and would love to see a content video about AI, its evolution and how you think it could change humanity's life or even Earth. Same about nanotechnology"", 'Who else is copping this masterpiece\n\n |\n\\/', 'Humans, as a species, do not have much time left...\nThank you for sharing the knowledge, but always remember that money is evil!', 'Currently pursuing a STEM degree in computer science and this channel has always helped me stay motivated and in love with computing, math and science. Great to see how far you guys have come.', 'Is this years calender the thicker cardstocky one? \n\nLast years calender was lovely and im continuing to buy them if i can either way.\n\nBut i did enjoy the thicker cardstock. It was much easier to have leaning on my desk and could be turned into lovely posters and such']"
JOiGEI9pQBs,"['✨ WORLDWIDE SHIPPING AVAILABLE ✨ The 12,024 Human Era Calendar has landed! https://shop.kgs.link/12024\nJoin us on an exploration of how different cosmic conditions could shape unique worlds and civilizations.\nStocks are highly limited, so don’t miss your chance to own a truly special piece of kurzgesagt.', 'Hey, happy Twelvety Twenty Four everyone!', 'Be humble, for you are made of earth 🌿🌎\nBe noble, for you are made of stars ✨️🌌', ""Cool idea but it lands heavy on the earth being as old as we think it is.  The age of the earth keeps getting older the more we advance our technology. If we discover earth is 10 billion years old then this theory doesn't hold up as much"", 'The image of a galaxy looks eerily similar to a human brain when compared.   What if we are just a cell inside of a huge being (or we are very small) kind of like that men in black ending.  The big bang was the birth of this giant being.', ""So that's what they mean by a long time ago in a universe far far away"", 'I like strawberrys', 'Life just add water.', 'cap', 'I love this channel. Each video makes me think from perspectives ive never thought and is so mind opening. It feels like i gain a third eye or something wjen im watching or listening. This video in particular really amazes me. Thank you Kurzgesagt, keep up the great work.']"
LBudghsdByQ,"['Go to https://brilliant.org/nutshell/ to dive deeper into these topics and more with a free 30-day trial + 20% off for the first 200 people! \nThis video was sponsored by Brilliant. Thanks a lot for the support!', 'I think Western Conservatives have been warning about population decline for a long time.', 'Google ""Universe-25"" experiment', 'The Arab countries, specifically the Islamic countries, will not be affected by all of this because of the nature of their traditions towards the family', 'Immigrants might have been a solution if they were really willing to integrate. But as mentioned in the video, different values and mindset cause friction between the social groups which then triggers multiple secondary questions about saving cultural heritage.', 'I’m a woman I’m not inclined to have  kids because the lack of safety in female health care. lack of child care, child seen as damp on careers. Lack of child safety no space were kids can be as part of society. I do want a good number but it’s not something I can see as possible', 'This is literally the idea behind the movie ""Idiocracy"", the idiots keep having kids while the ""smarter"" people stop having kids so the future is filled with idiots. Thank God I won\'t be around to see it.', 'The unpredicted consequence of overpopulation: rapid depopulation. Maybe this part of the way the ecosystem has evolved to regulate itself - maaaaybe this was always inevitable.', ""I'm from Iran and these days we have major people like lack of fresh water, high rent price and unemployed and because of these, young people don't want to have a child in this terrible situation. Population growth is only good for government to have cheap labor force"", ""There's no problem since there is robotic development, and natality program (the contrary of wokism). Immigration =/= the solution, just an investment to increase civil war probably.""]"
BxXzzAEEhCA,"[""There's no way this would work. With that many generations, someone would probably be angry enough at being forced to live their life in this way to sabotage it at some point along the line"", 'How is that much different from living on Earth?! You still have to maintain the ship and nobody asked you to be born. It is just a much much bigger ship that we can’t steer.', 'Whoa imagine seeing mew out the window but not recognizing it because it’s several generations from when pokemon was released', 'I would not go on a generation ship. It would be boring af.', ""I didn't expect to see deoxys speed at the start"", ""Uh... doesn't being born and growing up in space cause insane health defects? So wouldn't this be basically impossible?"", 'There sacrifice will be for the glory of the 1st Great Human Empire', 'DEOXYS', 'My parents already decided more or less what my life was going to be like, to the best of their abilities .', ""I didn't choose to come to the United States my great great grandfather did""]"
4Stzj2_Rlo4,"['To get started planning a fulfilling career that does a lot of good, go to 80000hours.org/kurzgesagt for your free career guide.', 'I dont know about floating brains but mine exploded thinking about this🤯🤯🤯🤯', ""Actually I dont think I'm real !"", ""Y-yeah, well, im British. W-we call it maths so therefore, y-your argument is fake and I'm a-alive!"", '1 + 1 = 💀', 'oh my god thank you so much  i was so afraid of the end of the universe but this makes not fear the death of the universe you most likely destroyed  my existential crisis. my gratitude is eternal', ""good story , but the funny thing is that in the end , few years maybe tens maybe months , you'll meat the intilligente designer that found you and was laughing while you guys were making the video on how much thing you think of instead , facing almighty god will be crucial and stupid to face with such broken ideas .good luck"", ""You''re blending the interiors of Kerr black holes with Boltzmann Brains, although it's important to note that these states need not accompany each other. A bunch of shredded elementary particles on the interior of a ring singularity may just follow whatever the physics of the above universe dictates, including the formation of galaxies in ours with three spatial dimensions and one temporal. Black holes eventually form under our local set of physics and the process proceeds concentrically. Our existence could easily be real, but inside a black hole, or fake, and hallucinated inside a black hole."", 'My head hurts now', 'The word Probably at the last hit hard to the core 😂']"
wmP3MBjsx20,"['Join us over on Discord to discuss and share your thoughts: https://kgs.link/Discord', ""Nuclear war will never happen because everyone knows if you launch a nuke at someone you'll get 2 in return then you send 4 back and they send 8 and next thing you know earth looks like mercury and no matter how crazy you are you must no there is no winner in a nuclear war and there never will be. All nukes are is something to be used as a threat or a deterrent and nothing more"", 'I am in a bathroom break 😂', 'At the end of the video. You have the power, yes in the US, EU, sometimes India. Not in china, NK, or Russia. The only thang that will work against them is MAD!', 'WHAT IS ICBM? ALSO, WHY NOT DESTROY ALL NUCLEAR WEAPONS???', 'Gandhi lore:', 'If I remember correctly, not all nations put all the nuclear power into hand of only one man like the United States.', ""I think that today's nuclear charges are already installed where they are supposed to detonate.  They are installed in perfectly sealed  and undetectable tunnels.  I wouldn't be surprised that Israel has quite a few in several Western capitals, and that quite a few Bin Ladens also have theirs.  Therefore the president would already be sitting in a 100% bombed city and already dying from radiation sickness before being informed of any war waged by any one.  If Russia and China have any real hostile intentions against the US they will do everything in one millisecond.  Their best strategy will be first to keep the US army busy with an already life-threatening civil war without apparently taking sides.  Then at the point where everybody in the WH and in the Pentagon is overworked they first explode the Yellowstone supervolcano and while the panic is going on they explode a dozen of cities on each coast with contradictory messages from terrorists claiming their havoc.  Russia explodes three of their own cities just to have less people to feed and seem a victim of the same catastrophe."", 'This really upsets me', ""And round full circle we come to the Fermi paradox on why there are no space faring aliens. Honestly, you could add just 'war' to environmental collapse because it's also a man-made phenomena that will only get deadlier until everyone has nukes, tailored germ bombs and someday nano tech etc. Even peacefully we are running out of soil and clean water, and eventually we will fight over that. So what's more likely, humans will all live harmoniously in a global Empire that is somehow not created by war or we will die trying to make one with war? Because without unity everyone arms up and does their own thing, but to achieve unity you need to destroy and then control everyone. Won't those be the worst kind of space faring aliens if they exist?""]"
cFslUSyfZPc,"['Go ‘beyond the nutshell’ at https://brilliant.org/nutshell/ and dive deeper into these topics and more with a free 30-day trial!\nThis video was sponsored by Brilliant. Thanks a lot for the support!', 'If you destroyed the event horizon by over feeding or over charging it, could you reverse the procedure? IE for Overchanging, throw positrons at it to reverse the negative charges?', ""I've already seen the singularity, it's in the bottom of the Nutella jar 👀"", 'You get all the loot it collected', 'The singularity is in its superpositions', ""This is the 4th time watching this and I'm still trying to understand how singularity swaps space and time."", 'I would have thought the faster it spins, the smaller the event horizon would be', 'anti-gravity', 'there are white holes', 'Black babies if you dont pull out.  Or atleast half']"
Kr57ax0OWMk,"['Continue learning about the fascinating world of biology with our Human Cell Poster, exclusively available here: https://shop.kgs.link/human-cell', ""I wonder if someone could dig up old corpses, and somehow awaken the virus again.\nIf it happened in today's context… I really doubt certain countries would collaborate, meaning it can all return. Sad to think about."", 'I love this channel', 'So one of two examples of virus is in russia... Well, fuck ...', 'Turn me into a cell sized human with a flame thrower.', 'Good thing there\'s childhood vaccinations to stop people from getting stuff like measels, mumps, and rubella 😁 oh wait, the anti-vax people are stopping that. ""I never got any of those, so I\'m got giving my child the vax for that!"" They protest 😒 well yeah, you probably got the vax when you were too young to even remember! Smh', 'Apes with pointy needles', 'What about chicken pox?', '0:23 And to thank the cows, we got rid of rinderpest for them.', 'Haha told you graverobbing was a bad thing . 😅😂🤣🙏🥰🥰❤️&Understanding . It,s ok to dig up  ancient sites  but stay away from the graves . Most ancient graves still have dangerous bactetia or curses  protecting them.']"
28T91fgkpkA,"['Random guess: 23.', ""Japan : please don't"", 'The moment this vid began i just immediately went. Oh god no leave the moon alone', ""I'm laughing that the Pluto label is Pluto the Dog"", 'When 3 moons align... The tide comes...', 'The Wings of Fire fandom has been summoned', 'How many moons can Earth handle?😏\nEarth you dirty little wet rock', 'The real answer is: as much as god wants', 'The MOON ZONE!!', 'In other news Werewolf outbreaks has reached its peak...']"
